{1AA33D4C-3D1B-4066-A03A-EE3276E7013D},59995,1995-07-07 00:00,CM21 9PF,F,Y,L,155,,LAWRENCE MOORINGS,SAWBRIDGEWORTH,SAWBRIDGEWORTH,EPPING FOREST,ESSEX,A,A
{EDCC5DA2-679D-47C6-A154-7463AA02C285},45495,1995-09-28 00:00,SG1 2AL,F,Y,L,79,,PRESTATYN CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,A,A
{D6F75E5F-3275-4ADA-87D5-AA8BBEFC94AD},103950,1995-07-31 00:00,SE1 3HS,F,Y,L,33,,LEATHERMARKET COURT,LONDON,LONDON,SOUTHWARK,GREATER LONDON,A,A
{DB74673E-F127-479E-A505-7F1A1F6D1F35},53750,1995-04-28 00:00,NE32 4SW,S,Y,L,26,,CALF CLOSE DRIVE,JARROW,JARROW,SOUTH TYNESIDE,TYNE AND WEAR,A,A
{2D5C7A23-F7E8-4393-9CB2-F8CC80FD09F7},170682,1995-04-04 00:00,SW1V 2DN,F,Y,L,"WEBSTER HOUSE, 26",FLAT 2,GLOUCESTER STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,A,A
{D9829D48-9353-4A20-A975-70E62111CC6E},49950,1995-12-15 00:00,NE32 4SW,S,Y,L,56,,CALF CLOSE DRIVE,JARROW,JARROW,SOUTH TYNESIDE,TYNE AND WEAR,A,A
{CFF17AA4-5C81-4FE8-A7BF-B5497BA8C478},69000,1995-10-24 00:00,TW3 4BZ,F,Y,L,MARYGOLD HOUSE,FLAT 6,TAYLOR CLOSE,HOUNSLOW,HOUNSLOW,HOUNSLOW,GREATER LONDON,A,A
{CB2AB9A2-0F8D-46F4-B2E8-92960C7113B7},34200,1995-09-15 00:00,IP2 8RS,T,Y,F,50,,MONMOUTH CLOSE,IPSWICH,IPSWICH,IPSWICH,SUFFOLK,A,A
{92FCFD34-F89A-4A97-8288-B54DFD774DC0},79995,1995-04-12 00:00,E3 2UR,F,Y,L,PARK WEST BUILDING,FLAT 9,FAIRFIELD ROAD,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,A,A
{940D59BD-3B9A-475C-A7D2-AAABE6FDA0F1},72000,1995-11-09 00:00,CM21 9PF,F,Y,L,188,,LAWRENCE MOORINGS,SAWBRIDGEWORTH,SAWBRIDGEWORTH,EPPING FOREST,ESSEX,A,A
{0CD5A2D7-6478-46A2-8B67-B55CE1F58685},98950,1995-12-18 00:00,SE1 3HS,F,Y,L,57,,LEATHERMARKET COURT,LONDON,LONDON,SOUTHWARK,GREATER LONDON,A,A
